Time, Lateral Acceleration, Lateral Velocity, Yaw Rate, FyF, FyR, FzF, FzR, aSlipF, aSlipR
1.00, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.00, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.00, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.00, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.01, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.01, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.01, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.01, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.01, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.01, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.01, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.01, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.01, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.01, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.01, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.02, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.02, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.02, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.02, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.02, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.02, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.02, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.02, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.02, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.02, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.03, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.03, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.03, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.03, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.03, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.03, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.03, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.03, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.03, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.03, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.04, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.04, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.04, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.04, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.04, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.04, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.04, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.04, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.04, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.04, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.05, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.05, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.05, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.05, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.05, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.05, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.05, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.05, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.05, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.05, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.06, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.06, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.06, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.06, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.06, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.06, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.06, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.06, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.06, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.06, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.07, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.07, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.07, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.07, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.07, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.07, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.07, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.07, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.07, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.07, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.08, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.08, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.08, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.08, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.08, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.08, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.08, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.08, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.08, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.08, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.09, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.09, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.09, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.09, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.09, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.09, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.09, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.09, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.09, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.09, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.10, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.10, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.10, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.10, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.10, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.10, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.10, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.10, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.10, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.10, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.11, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.11, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.11, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.11, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.11, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.11, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.11, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.11, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.11, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.11, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.12, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.12, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.12, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.12, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.12, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.12, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.12, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.12, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.12, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.12, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.13, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.13, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.13, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.13, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.13, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.13, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.13, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.13, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.13, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.13, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.14, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.14, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.14, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.14, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.14, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.14, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.14, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.14, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.14, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.14, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.15, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.15, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.15, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.15, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.15, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.15, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.15, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.15, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.15, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.15, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.16, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.16, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.16, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.16, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.16, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.16, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.16, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.16, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.16, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.16, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.17, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.17, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.17, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.17, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.17, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.17, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.17, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.17, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.17, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.17, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.18, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.18, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.18, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.18, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.18, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.18, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.18, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.18, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.18, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.18, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.19, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.19, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.19, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.19, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.19, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.19, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.19, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.19, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.19, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.19, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.20, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.20, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.20, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.20, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.20, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.20, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.20, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.20, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.20, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.20, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.21, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.21, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.21, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.21, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.21, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.21, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.21, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.21, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.21, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.21, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.22, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.22, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.22, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.22, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.22, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.22, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.22, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.22, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
1.22, 5.3459, -0.0751, 0.1604, 2207.5137, 2336.9368, 4463.3230, 4725.8714, -0.7328, -0.7328
