Time, Lateral Acceleration, Lateral Velocity, Yaw Rate, FyF, FyR, FzF, FzR, aSlipF, aSlipR
0.05, 3.4650, 0.0517, 0.1217, 1919.7042, 1025.8717, 4463.3230, 4725.8714, -0.6372, -0.6372
0.05, 3.4761, 0.0511, 0.1228, 1912.1307, 1042.8731, 4463.3230, 4725.8714, -0.6347, -0.6347
0.05, 3.4874, 0.0504, 0.1239, 1904.9560, 1059.7251, 4463.3230, 4725.8714, -0.6323, -0.6323
0.06, 3.4991, 0.0497, 0.1249, 1898.1679, 1076.4269, 4463.3230, 4725.8714, -0.6301, -0.6301
0.06, 3.5110, 0.0491, 0.1260, 1891.7542, 1092.9779, 4463.3230, 4725.8714, -0.6280, -0.6280
0.06, 3.5232, 0.0484, 0.1270, 1885.7033, 1109.3775, 4463.3230, 4725.8714, -0.6260, -0.6260
0.06, 3.5356, 0.0476, 0.1279, 1880.0037, 1125.6251, 4463.3230, 4725.8714, -0.6241, -0.6241
0.06, 3.5483, 0.0469, 0.1289, 1874.6444, 1141.7202, 4463.3230, 4725.8714, -0.6223, -0.6223
0.06, 3.5611, 0.0461, 0.1298, 1869.6146, 1157.6626, 4463.3230, 4725.8714, -0.6206, -0.6206
0.06, 3.5741, 0.0453, 0.1307, 1864.9037, 1173.4519, 4463.3230, 4725.8714, -0.6190, -0.6190
0.06, 3.5873, 0.0445, 0.1316, 1860.5014, 1189.0879, 4463.3230, 4725.8714, -0.6176, -0.6176
0.06, 3.6007, 0.0437, 0.1325, 1856.3978, 1204.5704, 4463.3230, 4725.8714, -0.6162, -0.6162
0.06, 3.6143, 0.0429, 0.1333, 1852.5831, 1219.8993, 4463.3230, 4725.8714, -0.6150, -0.6150
0.07, 3.6280, 0.0420, 0.1341, 1849.0479, 1235.0746, 4463.3230, 4725.8714, -0.6138, -0.6138
0.07, 3.6418, 0.0412, 0.1349, 1845.7830, 1250.0963, 4463.3230, 4725.8714, -0.6127, -0.6127
0.07, 3.6558, 0.0403, 0.1357, 1842.7793, 1264.9645, 4463.3230, 4725.8714, -0.6117, -0.6117
0.07, 3.6698, 0.0394, 0.1365, 1840.0282, 1279.6792, 4463.3230, 4725.8714, -0.6108, -0.6108
0.07, 3.6840, 0.0385, 0.1372, 1837.5211, 1294.2408, 4463.3230, 4725.8714, -0.6100, -0.6100
0.07, 3.6983, 0.0376, 0.1379, 1835.2498, 1308.6494, 4463.3230, 4725.8714, -0.6092, -0.6092
0.07, 3.7127, 0.0367, 0.1386, 1833.2063, 1322.9054, 4463.3230, 4725.8714, -0.6085, -0.6085
0.07, 3.7271, 0.0358, 0.1393, 1831.3827, 1337.0090, 4463.3230, 4725.8714, -0.6079, -0.6079
0.07, 3.7416, 0.0349, 0.1400, 1829.7713, 1350.9607, 4463.3230, 4725.8714, -0.6074, -0.6074
0.07, 3.7562, 0.0340, 0.1406, 1828.3649, 1364.7608, 4463.3230, 4725.8714, -0.6069, -0.6069
0.08, 3.7709, 0.0330, 0.1412, 1827.1561, 1378.4099, 4463.3230, 4725.8714, -0.6065, -0.6065
0.08, 3.7855, 0.0321, 0.1419, 1826.1380, 1391.9085, 4463.3230, 4725.8714, -0.6062, -0.6062
0.08, 3.8003, 0.0311, 0.1425, 1825.3038, 1405.2570, 4463.3230, 4725.8714, -0.6059, -0.6059
0.08, 3.8150, 0.0302, 0.1430, 1824.6467, 1418.4561, 4463.3230, 4725.8714, -0.6057, -0.6057
0.08, 3.8298, 0.0292, 0.1436, 1824.1605, 1431.5064, 4463.3230, 4725.8714, -0.6055, -0.6055
0.08, 3.8446, 0.0283, 0.1442, 1823.8387, 1444.4086, 4463.3230, 4725.8714, -0.6054, -0.6054
